====================================================================
             QURANLY - COMPLETE QARI RECITER LIST (241 Qaris)
====================================================================

ID     | QARI NAME                                     | INITIAL
29     | Abdullah Bukhari                              | A
290    | Saleh Alquraishi                              | S
3      | Ibrahim Al-Asiri                              | I
30     | Saad Al-Ghamdi                                | S
300    | Saleh Alshamrani                              | S
301    | Faisal Al-Hajry                               | F
302    | Anas Alemadi                                  | A
303    | Abdulmalik Alaskar                            | A
304    | Abdulkareem Alhazmi                           | A
305    | Hicham Lharraz                                | H
306    | Abdullah Al-Mishal                            | A
307    | Abdelaziz sheim                               | A
31     | Saud Al-Shuraim                               | S
32     | Sahl Yassin                                   | S
33     | Zaki Daghistani                               | Z
34     | Sami Al-Hasn                                  | S
35     | Sami Al-Dosari                                | S
36     | Sayeed Ramadan                                | S
37     | Shaban Al-Sayiaad                             | S
38     | Shirazad Taher                                | S
39     | Saber Abdulhakm                               | S
4      | Shaik Abu Bakr Al Shatri                      | S
40     | Saleh Alsahood                                | S
41     | Saleh Al-Talib                                | S
42     | Saleh Al-Habdan                               | S
43     | Salah Albudair                                | S
44     | Salah Alhashim                                | S
46     | Slaah Bukhatir                                | S
47     | Mukhtar Al-Haj                                | M
48     | Adel Ryyan                                    | A
49     | Abdelbari Al-Toubayti                         | A
5      | Ahmad Al-Ajmy                                 | A
50     | Abdulbari Mohammad                            | A
51     | Abdulbasit Abdulsamad                         | A
54     | Abdulrahman Alsudaes                          | A
55     | Abdul Aziz Al-Ahmad                           | A
56     | Abdulaziz Az-Zahrani                          | A
57     | Abdullah Al-Burimi                            | A
58     | Abdullah Albuajan                             | A
59     | Abdullah Al-Mattrod                           | A
6      | Ahmad Al-Hawashi                              | A
60     | Abdullah Basfer                               | A
61     | Abdullah Khayyat                              | A
62     | Abdullah Al-Johany                            | A
63     | Abdullah Qaulan                               | A
64     | Abdulrasheed Soufi                            | A
66     | Abdulmohsin Al-Harthy                         | A
67     | Abdulmohsen Al-Qasim                          | A
68     | Abdulmohsin Al-Askar                          | A
69     | Abdulmohsin Al-Obaikan                        | A
7      | Ahmad Saud                                    | A
70     | Abdulhadi Kanakeri                            | A
71     | Abdulwadood Haneef                            | A
72     | Abdulwali Al-Arkani                           | A
73     | Ali Abo-Hashim                                | A
74     | Ali Alhuthaifi                                | A
76     | Ali Jaber                                     | A
77     | Ali Hajjaj Alsouasi                           | A
78     | Emad Hafez                                    | E
79     | Abdulaziz Alturki                             | A
8      | Ahmad Saber                                   | A
80     | Omar Al-Qazabri                               | O
81     | Fares Abbad                                   | F
82     | Fahad Al-Otaibi                               | F
83     | Fahad Al-Kandari                              | F
84     | Fawaz Alkabi                                  | F
85     | Lafi Al-Oni                                   | L
86     | Nasser Alqatami                               | N
87     | Nabil Al Rifay                                | N
88     | Neamah Al-Hassan                              | N
89     | Hani Arrifai                                  | H
9      | Ahmad Nauina                                  | A
90     | Walid Al-Dulaimi                              | W
91     | Waleed Alnaehi                                | W
92     | Yasser Al-Dosari                              | Y
93     | Yasser Al-Qurashi                             | Y
94     | Yasser Al-Faylakawi                           | Y
95     | Yasser Al-Mazroyee                            | Y
96     | Yahya Hawwa                                   | Y
97     | Yousef Alshoaey                               | Y
98     | Abdullah Abdal                                | A
--------------------------------------------------------------------
